Average_Perplexity Score: 60.869935999999946
the project gutenberg ebook <PUN> pride and prejudice <PUN> by jane austen <PUN> edited by r <PUN>    PP Score = 13.235
you may copy it <PUN> give it away or re <PUN> use it under the terms of the project gutenberg license included with this ebook or online at www <PUN>    PP Score = 2.207
gutenberg <PUN>    PP Score = 668.317
w <PUN>    PP Score = 6014.897
<PUN> robert william <PUN> chapman release date <PUN> may <NUM> <PUN> <NUM> <PUN> ebook <PUN> <NUM> <PUN> language <PUN> english <PUN> <PUN> <PUN> start of the project gutenberg ebook pride and prejudice <PUN> <PUN> <PUN> e <PUN> text prepared by greg weeks <PUN> jon hurst <PUN> mary meehan <PUN> and the online distributed proofreading team <PUN> http <PUN> <PUN> <PUN> www <PUN>    PP Score = 15.174
net <PUN> from page images generously made available by internet archive <PUN> https <PUN> <PUN> <PUN> archive <PUN>    PP Score = 13.913
org <PUN> note <PUN> project gutenberg also has an html version of this file which includes the original illustrations <PUN>    PP Score = 20.660
htm or <NUM> <PUN> h <PUN>    PP Score = 16.878
zip <PUN> <PUN> http <PUN> <PUN> <PUN> www <PUN>    PP Score = 5.506
gutenberg <PUN>    PP Score = 668.317
htm <PUN> or <PUN> http <PUN> <PUN> <PUN> www <PUN>    PP Score = 7.008
gutenberg <PUN>    PP Score = 668.317
org <PUN> files <PUN> <NUM> <PUN> <NUM> <PUN> h <PUN>    PP Score = 3.144
zip <PUN> images of the original pages are available through internet archive <PUN>    PP Score = 6.074
see http <PUN> <PUN> <PUN> archive <PUN>    PP Score = 13.604
org <PUN> stream <PUN> novelstextbasedo<NUM>austuoft <PUN> hashtag <PUN> <PUN> n<NUM> <PUN> mode <PUN> <NUM>up transcriber <PUN> s note <PUN> text enclosed by underscores is in italics <PUN> <PUN> italics <PUN> <PUN> <PUN>    PP Score = 40.831
a carat character is used to denote superscription <PUN>    PP Score = 4444.704
multiple superscripted characters are enclosed by curly brackets <PUN> example <PUN> m <PUN> <PUN> rs <PUN> <PUN> <PUN>    PP Score = 147.251
pride and prejudice <PUN> a novel <PUN>    PP Score = 7.131
i <PUN>    PP Score = 20.090
london <PUN> printed for t <PUN>    PP Score = 5.522
egerton <PUN> military library <PUN> whitehall <PUN>    PP Score = 3.985
<NUM> <PUN>    PP Score = 143.901
<PUN> invented by m <PUN> <PUN> rs <PUN> bell <NUM> charlotte street bedford square <PUN>    PP Score = 65.287
<PUN> <PUN> engraved for no <PUN>    PP Score = 83.636
it is a truth universally acknowledged <PUN> that a single man in possession of a good fortune <PUN> must be in want of a wife <PUN>    PP Score = 5.429
however little known the feelings or views of such a man may be on his first entering a neighbourhood <PUN> this truth is so well fixed in the minds of the surrounding families <PUN> that he is considered as the rightful property of some one or other of their daughters <PUN>    PP Score = 6.378
<PUN> my dear mr <PUN>    PP Score = 7.430
bennet <PUN> <PUN> said his lady to him one day <PUN> <PUN> have you heard that netherfield park is let at last <PUN>    PP Score = 3.818
<PUN> mr <PUN>    PP Score = 9.046
<PUN> but it is <PUN> <PUN> returned she <PUN> <PUN> for mrs <PUN>    PP Score = 4.335
long has just been here <PUN> and she told me all about it <PUN>    PP Score = 7.110
<PUN> mr <PUN>    PP Score = 9.046
bennet made no answer <PUN>    PP Score = 8.485
<PUN> cried his wife impatiently <PUN>    PP Score = 9.888
<PUN> <PUN> you <PUN> want to tell me <PUN> and i have no objection to hearing it <PUN>    PP Score = 5.539
<PUN> this was invitation enough <PUN>    PP Score = 8.105
<PUN> why <PUN> my dear <PUN> you must know <PUN> mrs <PUN>    PP Score = 5.352
long says that netherfield is taken by a young man of large fortune from the north of england <PUN> that he came down on monday in a chaise and four to see the place <PUN> and was so much delighted with it that he agreed with mr <PUN>    PP Score = 4.494
<PUN> <PUN> what is his name <PUN>    PP Score = 5.435
<PUN> <PUN> is he married or single <PUN>    PP Score = 6.351
<PUN> <PUN> oh <PUN>    PP Score = 4.233
single <PUN> my dear <PUN> to be sure <PUN>    PP Score = 9.967
a single man of large fortune <PUN> four or five thousand a year <PUN>    PP Score = 6.860
